"Vehicle","Start Location Name","Start Time","End Location Name","End Time","Distance (mi)","Duration (min)","Fuel Cost (USD)","Average MPG","Fuel Volume (gal)","Hard Accelerations","Hard Brakes","Duration Over 70 mph (secs)","Duration Over 75 mph (secs)","Duration Over 80 mph (secs)","Start Location Lat","Start Location Lon","Start Location Accuracy (meters)","End Location Lat","End Location Lon","End Location Accuracy (meters)","Path"
"2011 Ford Focus","701 Monroe Street Northeast, Washington, DC 20017, USA","2015-06-12 9:01 AM","Anacostia Tributary Trail System, College Park, MD 20740, USA","2015-06-12 9:24 AM","6.83","22.48","0.80","23.96","0.29","2","0","0","0","0","38.932128","-76.995941","16.3999996185303","38.9958861","-76.9342272","4.40000009536743","y|rlFbi}tMiD?KLINKY}@{C_@eAWk@_@u@[c@oBeCiBaC_A}@w@g@iBg@yDkAWQqEoFiB{BkC}CcFaGgC_DcCuCcAmASc@Ik@?_A@aFAwD@aECuCGy@Mq@Yo@MQ[_@KKaAq@mEwCeEuC_Ao@YWe@g@UUMYEKOg@IY]sA]kC_BqM}AsLiAyIeAgGa@wA}@aBm@m@g@_@uAi@wGgA_@G{B{@}As@}BgAg@WiAw@iAaA_AeAw@mAe@{@aAaCY{@e@_AqAsCkBgE_AgB_BmCuAoBmBeCuDoFuAoBIJHKeBaC{@sA{BsCoBkCgAoAwD}Ea@i@kAcBcC{Cq@}@aCmD{@{AuCaFk@q@g@Wa@AU@wEpAy@J}J`@k@BmDVq@LyA`@iBt@aBx@gGxDe@X}HbFcDtBqCvBe@^e@ZiCnA_@NsAZm@JiB`@s@Ro@JeEPyCN{Fr@yIhA_CTiBZWEg@Iq@UKAmBkAgDwB{FqD}DiCkIeFqAu@MOeDuB}LyHaC_BkB}AaB_BmAuAgAwAyAyBoAyBcAsBmB}E{AgFr@eAn@}@`BuAd@Uh@Wx@m@bAqAdAaBvDuFpAwB~@mAbA_AnBiA\Ob@O|@M`BECmJ@CX?hBCDlIY@?T?TKAaBCaBD}@Lc@N]NIgCQyDEKIEW@"
"2011 Ford Focus","75 Bryant Street Northwest, Washington, DC 20001, USA","2015-06-12 8:50 AM","The Catholic University of America, 625-629 Monroe Street Northeast, Washington, DC 20017, USA","2015-06-12 8:56 AM","1.05","5.29","0.17","17.63","0.06","0","0","0","0","0","38.92157","-77.011565","9.19999980926514","38.9323527","-76.9967206","65","cyplFhi`uM@iOeGD}JEgG?eD@M}AIiBI_Ae@oGKe@Ui@W[}AoAeBuA}CeCuAmA}@iAu@qAsEcKeCgIaBuFEkCCeAAcB"
"2011 Ford Focus","64 Channing Street Northwest, Washington, DC 20001, USA","2015-06-12 8:49 AM","75 Bryant Street Northwest, Washington, DC 20001, USA","2015-06-12 8:49 AM","0.03","0.23","0.00","35.00","0.00","0","0","0","0","0","38.922057","-77.011487","6.40000009536743","38.92157","-77.011565","9.19999980926514","null"
"2011 Ford Focus","Anacostia Tributary Trail System, College Park, MD 20740, USA","2015-06-11 5:50 PM","64 Channing Street Northwest, Washington, DC 20001, USA","2015-06-11 6:24 PM","8.04","33.67","1.20","18.80","0.43","3","0","0","0","0","38.9958861","-76.9342272","4.40000009536743","38.922057","-77.011487","6.40000009536743","ui_mF~oqtMI@IJCPAd@LhFDnAhAm@\Ob@O|@M`BE`BBJ@?U?UXAN@BA`@kCC_EECS@]?DlIY@?T?TKAaBCk@@oAFo@Lu@ZoBhAe@`@{@~@aAxA}AbCwB|C_AzAcAvAY\y@l@i@Ve@TaBtAo@|@s@dAg@j@VbAfApDhArCbA|BdB`DfAzApAhBzAfBtAtAzAnAtAdAvBtAbEdCzGhEdBlAbIbFdQzKzGjEX\j@]jA_@n@Qh@AnBSpDg@fDc@pC]zBUvESxBMd@EhEcAxA_@jAg@bB{@v@g@hDiCjFiD|D_C|AaAdIgF`Ac@jAc@pAa@|@O~CO|Lk@h@Ij@Oh@OjA]p@O\GTB\R\b@dDbGv@rAjAfBbBtBP^jBbCfChDbDfE|BpCnDzEvHhK`HlJnAlBjAtBr@lAnAvC`@bArA~Cl@tAh@jADRTd@rAvBnApA^h@dBnAxBfAzB|@nA`@vAd@`Cf@|Cj@bA^^Tx@v@\l@d@dARr@n@fDb@zCrB~NxAhKz@|Gh@tDPp@Vh@PFP`@Z\d@f@`@XdAr@vLhINJLRXZPZRf@Lx@Bp@@nF@lDAtGA~A@\Ll@RZjBzBrG|H`IjJ~GlIZZTN|DjAz@Tv@Xp@f@j@j@b@j@vAhBhB~Bh@x@Zp@b@jAnAbExBlHpDzLhAtDVt@z@hBjBhEv@~A^l@|@hAtAlAbGzE|AnAVZTh@Jd@d@nGRhDNvBbD?hG?nJ?v@@?p@@v@hB@@lJ"
"2011 Ford Focus","7419 Baltimore Avenue, College Park, MD 20740, USA","2015-06-11 11:00 AM","Anacostia Tributary Trail System, College Park, MD 20740, USA","2015-06-11 11:08 AM","1.24","8.83","0.24","14.51","0.09","1","0","0","0","0","38.981844","-76.937561","6","38.9958861","-76.9342272","4.40000009536743","ys|lFt{qtMQCQYx@}F`@HtA^t@Rz@Tq@~E}F@eCEmDYkAQkA[mAWe@OyAi@kB{@eB{@_CsAiBoAgCwAw@c@I^ItAAl@@XF|@RjAu@XqBr@oAd@a@F{D@iLBiB@iAEmBBw@Fo@La@PMFIeCKyCCWCOGIOAM@"
"2011 Ford Focus","71 Bryant Street Northwest, Washington, DC 20001, USA","2015-06-11 10:31 AM","7419 Baltimore Avenue, College Park, MD 20740, USA","2015-06-11 10:54 AM","6.54","23.53","0.81","22.59","0.29","2","0","0","0","0","38.921618","-77.011447","6.40000009536743","38.981844","-76.937561","5","m|plFph`uMAgJ~AAJI?_B@]cBBsB@{KE}L@YuEc@_GMsAOg@[e@YYwCaCw@m@gEkDeAoA}@{AiC_GiAcCo@sBwDiMuCqJoAgEi@yAm@mAoAaBuAeBoAcB[[y@q@a@WyAa@_EkAWMSS}GkIuFqGaFgGwBiC{BkCQWOi@Ee@@aB@qDAwD@aECcCAo@My@Oe@]o@g@k@qLeImAy@_Au@UYUUMYEKOg@_@uAMq@eAiIy@}GkDaXeAoFQq@[o@e@w@g@g@SQYSu@]kAWkGcAcDoAcBy@wBeAsByA_BeBgAeBm@sAcAmCi@eAyAgD_CaF_CaEcGeIiDeFeDwEiGgIiDgEyAiBoAeBcByBmA}A}BaDqA{BqDiGSi@Q[Mi@?c@A]AQHkBNiDJ_IDuAHsATwBXsBRaALg@f@oBYA]GYIw@WsFcC|@uCT}@b@aD{D]sL}@}MgAsCGiJA{J?yA@}@?_@GqDEwD?iLABOICEAy@A"
"2011 Ford Focus","601-653 13th Street Northwest, Washington, DC 20005, USA","2015-06-10 6:59 PM","71 Bryant Street Northwest, Washington, DC 20001, USA","2015-06-10 7:15 PM","2.55","16.61","0.52","13.68","0.19","2","1","0","0","0","38.8975526","-77.0296172","5.19999980926514","38.921618","-77.011447","6.40000009536743","udllFfzcuMmF?}F?[A[GmE@oCBgA?A{@?cDWo@?sFjF?VCd@AsBmIoAsFO}AGcJFq@~BwIaD?_\@i\AeE?mACMg@s@yCyCsLgDkNsBJ}Kl@yEXqFZuCRI?G{@Gi@MeAUuA[uAg@uAEYAcB@{K?cBKH_B@@fJ"
"2011 Ford Focus","Anacostia Tributary Trail System, College Park, MD 20740, USA","2015-06-10 5:23 PM","601-653 13th Street Northwest, Washington, DC 20005, USA","2015-06-10 6:24 PM","16.18","60.87","2.04","22.17","0.73","3","0","0","0","0","38.9958861","-76.9342272","4.40000009536743","38.8975526","-77.0296172","5.19999980926514","ui_mF~oqtMI@IJCPAd@LhFDnAhAm@\Ob@O|@M`BE`BBJ@?U?UXAY@?T?TKAaBCaBD}@Lc@N]NoBhAcA~@_AlAqAvBqAlBeBfCeA`BcApAy@l@i@Ve@TaBtAo@|@s@dAe@yBe@kCy@iHSmCMsDM}F[uL]sUEeDB}@PeA^cAhDsItDuJxAsDnAiDl@aCZwBPiBDODoAB}DCuHEsZDwGHoCRqDx@oJvCkZbAqJZcEJaCNmDH}E@k@JgIJqTJoGLcENaHd@}B`@gAh@}@v@gAjAkAjA}@jAy@~@a@z@SnAStMlAjAVfBr@dGdGhDxCp@f@h@`@rBpAdDbBxCfA|Ad@nBd@zB`@hGt@tCZdDd@|Cn@bDfAvB|@z@d@xAz@hBnAxEzDfDnClC|BfC`BfCvApCtAhCnA|C`BxCfBdC|AlDbCdE~CdK|HdB`AvCjAXFrA\t@PpARzANfAFnABjDAvFA|AHx@HfBXdAXzAh@lB|@t@b@x@l@v@p@|@x@~A~AdC`CdBpAnAt@nAl@rAf@tA`@rAXvAPrAJtABhBAzFSxDO`DK~CBrBLpAPtATvAZrA`@rAd@pB~@dB|@vA`AnB`Bn@j@xA|AtA|ApAtA|AtAdAv@nCfBl@XfFtBfB|@|AbA`@\t@r@jAfAb@f@~BfDz@~AnBbE`@dAh@dB~AxF`BtFv@tBt@`B~@dBx@pArAfBdAlArApAlA`AzGpEnFlDzF|DfAz@fAbAx@`Az@hAR^rEvGrDtFbAbBrDzFjDzFpC`FrA`D`@nAd@fBXn@Hb@XlBV`DNrDDhDIfDU~Dm@lGyCd\Et@CfCNhDZ~CXlAbAtCnChHbAlClAfDVhAFb@D^Fr@@n@CrG[~QOfG[jKOjIMvGEfABtB?lDFbEAb@f@^bCnBvB~ArAbAn@h@jBxAnB|AtCtBh@^xA`ALHVJfE`ApInBbAVl@XfLzGbJzEtDvBnJdFhAn@bB`ApEdC`BbAFFZr@zAzEdClIt@fCxGrThGdS~DbNvAtE`A|C\pA?z@@dG?nAAXh@?dA@Z?VFHBHFLZlAxDlA`EVr@TbAFb@?p@?bCA^HV?vGE~KClCAjAEbR?|O@hBDb@d@xB@f@e@rCMhAk@zCa@nBcBdJaBdJyDdT_@nB]zAM|@m@`DuAhHK|AAlH@fAuB@kBAkCCaE?@eF?gS?eB`C@~@@AfE?|Hg@?"
"2011 Ford Focus","3115 14th Street Northwest, Washington, DC 20010, USA","2015-06-10 9:13 AM","Anacostia Tributary Trail System, College Park, MD 20740, USA","2015-06-10 9:43 AM","8.81","29.88","1.00","24.58","0.36","2","1","0","0","0","38.9298397","-77.0327239","65","38.9958861","-76.9342272","4.40000009536743","onrlFrmduMaA@O?Ot@mCpJe@fBg@lBm@hBeIAeLAsK?aDAcC?OG[EKQUUiGcF{FyEyGqFeCsBwAc@sC{@wLmD{Ak@_@Si@g@m@y@o@k@kA{@qCqB@kKEeEKgKUuTAmB{AeA}B}AeCaBeUmOcAq@gD{BAGCEUQ?cA\yAP{@AGJg@dCuK|B_KZaBDo@MoA{@}Fm@mEw@qFDUKaAYqBg@wDOg@Qa@W[e@[{IwEk@YQ?_EmCkA{@_Ay@i@k@u@gAk@eAo@cBs@qCYsA@k@c@kDg@{Ek@qFOiAQ_Ay@gDy@aCk@mAu@qAaB_CmAwAyIgJqJuJwD_EeAuAa@u@c@mAm@eCOcAI_AG}@Ks@Ig@i@mBc@}@s@gAqCsCcB{AaAi@cBc@SAoDCkAAg@C_ASy@_@}AgAaB}@wASs@CuABsNf@eBH_BXkDt@_APmIn@k@WKOEQA_@RuADgADgBi@kLm@{MqA}X_@uHUqEm@iMqAwYYkGIy@YgBk@{BeAuBq@}@SYaA_AoFgDyAaAmFgDsEwCsAy@mGwDMOs@c@{E{C{KcH}BeByAuAwAyA_AgA{AsBsAyBuAmCe@cAq@gBk@wAi@aBq@eCj@{@n@_AhB}Ad@UjAs@b@_@`AoAbAcBpBsCtAuBjAmB|@gAxAiAvAu@`@Qn@Mv@Gr@ATA?e@CgI?A@Ar@At@AX?@p@BzGY@?j@cCCuADw@Lo@TMFIeCKyCGg@GIOAM@"
"2011 Ford Focus","64 Channing Street Northwest, Washington, DC 20001, USA","2015-06-10 7:30 AM","3115 14th Street Northwest, Washington, DC 20010, USA","2015-06-10 7:46 AM","2.67","15.90","0.49","15.37","0.17","1","0","0","0","0","38.922057","-77.011487","4.80000019073486","38.9298397","-77.0327239","65","m|plFvh`uMAmJ~AAJI?_B@]cBBsB@{KE}L@_BAg@CgAMm@MeA]aBw@qDkBsAu@aCkA_By@WK{Bu@k@g@SSKa@Cc@Dg@FSPWPOPGb@ARFNLNTFRHt@DVHZHxBBf@FfD@vEChECzPFtHBzBDd@\rBFHRjAJj@hAxL`BxQH`BHdCEx@SvADlBh@dMZdHB~JE`LGXUb@y@dBIVd@?ZA"
